site_id,slug,name_ar,name_en,governorate_ar,locality_ar,site_type_ar,page_category,page_adoption_status,accepted_editorial_record_count,adoptable_source_count,adoptable_source_ids,held_claim_count,coordinate_status,direct_map_use,approved_media_asset_count,media_status,development_status,last_development_update,publication_status,database_import_status
site-899e38be070d,lhrm-lbrhymy-899e38,الحرم الإبراهيمي,Ibrahimi Mosque,الخليل,الخليل,مسجد/حرم,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,1,AUTH-UNESCO-HEBRON-001,1,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-6b6c5a396756,bld-lkhlyl-lqdym-6b6c5a,بلدة الخليل القديمة,,الخليل,الخليل,بلدة قديمة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,3,1,AUTH-UNESCO-HEBRON-001,0,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-f60be7cd7d5e,byt-mr-khrb-lnby-mt-f60be7,بيت أمر,,الخليل,بيت أمر,بلدة تاريخية/خربة,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-63c0ba59c24e,tl-lrmyd-63c0ba,تل الرميدة,,الخليل,الخليل,تل أثري,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W2-AUTH-ICOMOS-HEBRON-2017; W2-AUTH-UNESCO-HEBRON-001,2,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-cd3be04163b6,hlhwl-mqm-lnby-ywns-cd3be0,حلحول (مقام النبي يونس),,الخليل,حلحول,بلدة تاريخية/مقام,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W2-AUTH-MWNF-NABI-YUNUS-001,2,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-2310c1600481,khn-lhtb-2310c1,خان الحطب,,الخليل,الخليل,خان,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-c9ac723c0271,khrb-lnby-nwh-c9ac72,خربة النبي نوح,,الخليل,دورا,مقام/خربة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W2-AUTH-WAFA-NABI-NUH-2020,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-6162b1da6edc,yn-sr-6162b1,عين سارة,,الخليل,الخليل,نبع/عين,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-d2c9e9bc9652,ql-lkrml-dyr-smt-d2c9e9,قلعة الكرمل (دير سامت),,الخليل,قضاء الخليل,قلعة,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,2,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-0dc57168d963,mgr-lbtrk-jz-mn-lhrm-0dc571,مغارة البطاركة (جزء من الحرم),,الخليل,الخليل,مغارة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W2-AUTH-UNESCO-HEBRON-001,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-7532d020842e,mqm-lshykh-ly-lbk-7532d0,مقام الشيخ علي البكاء,,الخليل,الخليل,مقام,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W2-AUTH-ICOMOS-HEBRON-2017,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-37c8be50ce73,brk-slymn-37c8be,برك سليمان,Solomon's Pools,بيت لحم,أرطاس,بركة/خزان مياه,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W2-AUTH-ARCHNET-SOLOMON-POOLS-001,3,available_for_review,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-f97aa993c98b,dyr-ljn-lkhdr-f97aa9,دير الجنة (الخضر),,بيت لحم,الخضر,دير,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,2,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-a8aeb054b451,dyr-mr-sb-a8aeb0,دير مار سابا,,بيت لحم,شرق بيت لحم,دير,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W2-AUTH-JERUSALEM-PATRIARCHATE-MAR-SABA-001,2,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-88fede7b6df0,qry-btyr-88fede,قرية بتير,,بيت لحم,بتير,بلدة قديمة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,1,AUTH-UNESCO-BATTIR-001,0,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-133155518939,qsr-hyrwdywn-133155,قصر هيروديون,,بيت لحم,شرق بيت لحم,حصن/قصر,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W2-AUTH-SBF-HERODIUM-BIBLIOGRAPHY-001; W2-AUTH-SBF-HERODIUM-CHRISTIAN-001,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-63fe9eba7871,ql-lbrk-63fe9e,قلعة البرك,,بيت لحم,أرطاس,قلعة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W2-AUTH-ARCHNET-SOLOMON-POOLS-001,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-4b15f14c306f,knys-lmhd-4b15f1,كنيسة المهد,Church of the Nativity,بيت لحم,بيت لحم,كنيسة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,1,AUTH-UNESCO-NATIVITY-001,0,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-57adc62d6d70,mgr-lhlyb-57adc6,مغارة الحليب,,بيت لحم,بيت لحم,كنيسة/مغارة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W2-AUTH-SBF-MILK-GROTTO-001; W2-AUTH-SBF-MILK-GROTTO-EXCAVATION-2005,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-e2a5c15f76f6,bld-byrzyt-lqdym-e2a5c1,بلدة بيرزيت القديمة,,رام الله والبيرة,بيرزيت,عنقود عمراني تاريخي,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,2,W5-AUTH-RIWAQ-BIRZEIT-001; W5-AUTH-RIWAQ-BIRZEIT-AWARD-001,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-014e4c4e4845,khrb-bwd-014e4c,عابود التاريخية,,رام الله والبيرة,عابود,عنقود بلدة تاريخية ومشهد أثري,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,3,W5-AUTH-MOTA-ABOUD-BARBARA-001; W5-AUTH-MOTA-ABOUD-DORMITION-001; W5-AUTH-RIWAQ-50-CENTRES-001,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-28dd528f5f3a,dyr-mr-28dd52,دير عمار,,رام الله والبيرة,غرب رام الله,عنقود بلدة تاريخية,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,2,W5-AUTH-RIWAQ-50-CENTRES-001; W5-AUTH-RIWAQ-DEIR-AMMAR-001,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-2a3fdab99250,yn-smy-2a3fda,عين سامية,,رام الله والبيرة,كفر مالك,عنقود مشهد أثري ومائي,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,3,W5-ACADEMIC-AIN-SAMIYA-TOMB-204-001; W5-ACADEMIC-CAMBRIDGE-AIN-SAMIYA-001; W5-AUTH-WAFA-TOURIST-TRAILS-001,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-78a64ec5ef15,qsr-lryn-78a64e,قصر الريان,,رام الله والبيرة,رام الله,قصر,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,4,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-12fc185d4b0b,mqm-lnby-slh-12fc18,مقام النبي صالح,,رام الله والبيرة,قرب رام الله,مقام,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W5-AUTH-RIWAQ-NABI-SALEH-001,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-a9ac192e20c3,bld-nbls-lqdym-a9ac19,بلدة نابلس القديمة,,نابلس,نابلس,عنقود عمراني تاريخي,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,3,W4-AUTH-MOTA-NABLUS-OLD-CITY; W4-AUTH-UNESCO-KHAN-WAKALA-2012; W4-AUTH-UNESCO-NABLUS-2012,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-a429c345ac25,jm-lnsr-a429c3,جامع النصر,,نابلس,نابلس,مسجد,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W4-AUTH-MOTA-NASR-CONTEXT,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-b6773e683274,jbl-jrzym-b6773e,جبل جرزيم,,نابلس,نابلس,موقع مقدس,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,2,W4-AUTH-MOTA-NABLUS-OLD-CITY; W4-AUTH-UNESCO-GERIZIM-2012,2,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-160c60c7b952,hr-lysmyn-160c60,حارة الياسمينة,,نابلس,نابلس,حارة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,1,W4-AUTH-MOTA-YASMINA-ATOUT,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-31c7667ff10e,khn-ltjr-31c766,خان التجار,,نابلس,نابلس,خان,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W4-AUTH-MOTA-KHAN-TUJJAR,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-6f6afe87f969,sbsty-shmrwn-6f6afe,سبسطية (شمرون),Sebastia,نابلس,سبسطية,مدينة أثرية,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,3,1,AUTH-UNESCO-SEBASTIA-001,0,available_for_review,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-d00341226494,mqm-lnby-sh-yb-d00341,مقام النبي شعيب,,نابلس,قرب نابلس (سنجل),مقام,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,4,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-fb9a817ec94a,mqm-lnby-ywsf-blt-fb9a81,مقام النبي يوسف (بلاطة),,نابلس,بلاطة,مقام,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,1,W4-ACADEMIC-JQ-MAQAM-YUSUF-2023,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-f2a7fbbda5a5,bld-jnyn-lqdym-f2a7fb,بلدة جنين القديمة,,جنين,جنين,عنقود عمراني تاريخي مؤقت,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W4-AUTH-MOTA-JENIN-FATIMA-KHATUN; W4-AUTH-MOTA-JENIN-SIBAT,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-0ae63f2b6a17,tl-jnyn-0ae63f,تل جنين,,جنين,جنين,تل أثري,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,4,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-fe1e2a1605b5,qsr-lkyd-fe1e2a,قصر الكايد,,نابلس,سبسطية,قصر,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W4-AUTH-MOTA-KAYED-SEBASTIA,2,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-2c1f6b6dbd51,knys-brqyn-2c1f6b,كنيسة برقين,,جنين,برقين,كنيسة,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W4-AUTH-MOTA-BURQIN,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-fc3cde18193c,mqm-lshykh-hsn-fc3cde,مقام الشيخ حسن,,جنين,جنين,مقام,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,4,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-a28891855f38,bld-dyr-lgswn-a28891,بلدة دير الغصون,,طولكرم,دير الغصون,بلدة,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-7a4bd929848c,khrb-brj-l-bd-7a4bd9,خربة برج العبد,,طولكرم,عنبتا,خربة/برج,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,4,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-0c0a379f20f7,khrb-jb-0c0a37,خربة جبع,,طولكرم,جبع,خربة,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-be1c2ce90997,mdyn-twlkrm-ltrykhy-be1c2c,مدينة طولكرم التاريخية,,طولكرم,طولكرم,عنقود عمراني تاريخي مؤقت,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,2,W4-AUTH-MOTA-TULKARM-MUSEUM; W4-AUTH-UNESCO-RIWAQ-75-STEPS-2023,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-95d241c30366,mqm-lshykh-shltwt-95d241,مقام الشيخ شلتوت,,طولكرم,طولكرم,مقام,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,4,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-02cb039fe1eb,khrb-zwn-02cb03,خربة عزون,,قلقيلية,عزون,خربة,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-3ab4c5b64173,khrb-qlqyly-lqdym-3ab4c5,خربة قلقيلية القديمة,,قلقيلية,قلقيلية,خربة,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,4,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-a33c0a4f64fa,mqm-lnby-ymyn-a33c0a,مقام النبي يامين,,قلقيلية,عزون,مقام,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,4,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-69f3ad775733,khrb-dyr-sty-69f3ad,بلدة دير استيا التاريخية,,سلفيت,دير استيا,عنقود بلدة تاريخية,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,3,W4-AUTH-MOTA-DEIR-ISTIYA; W4-AUTH-RIWAQ-50-CENTRES; W4-AUTH-RIWAQ-DEIR-ISTIYA-PALACES,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-ba91049d51a9,ywn-lm-l-thry-ba9104,عيون الماء الأثرية,,سلفيت,سلفيت,عنقود معالم مائية,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,1,1,W4-AUTH-MOTA-DEIR-ISTIYA,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-b2a7e03ecda1,ql-kfl-hrs-b2a7e0,قلعة كفل حارس,,سلفيت,كفل حارس,قلعة,LIMITED_RESEARCH_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,0,0,,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
site-c6731a990917,tl-lfr-lmdyn-lkn-ny-c6731a,تل الفارعة (المدينة الكنعانية),,طوباس,رأس الفارعة,تل أثري,GOVERNED_DRAFT_PAGE,IMPLEMENTED_PENDING_LOCAL_UAT,2,2,W4-ACADEMIC-EBAF-TELL-FARAH-CORPUS; W4-AUTH-TELL-EL-FARA-PROJECT-2026,3,needs_geospatial_verification,BLOCKED,0,NO_APPROVED_MEDIA_ASSET,IMPLEMENTED_PENDING_LOCAL_UAT,2026-07-15,BLOCKED,BLOCKED
